trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
124,False,"{'a': 0.06, 'e': 0.9380000000000068}",20,0,-121.45573254125443,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
125,False,"{'a': 0.06, 'e': 0.9375000000000069}",25,0,-113.6730451736742,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
126,False,"{'a': 0.06, 'e': 0.9370000000000069}",20,0,-75.06367247392234,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
127,False,"{'a': 0.06, 'e': 0.936500000000007}",20,0,-116.25028270419108,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
128,False,"{'a': 0.06, 'e': 0.936000000000007}",30,0,-56.230836628301304,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
129,False,"{'a': 0.06, 'e': 0.9355000000000071}",25,0,-105.1093624406689,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
130,False,"{'a': 0.06, 'e': 0.9350000000000072}",20,0,-7.8502696227619175,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
131,False,"{'a': 0.06, 'e': 0.9345000000000072}",25,0,-178.43407033393416,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 3}",0
132,False,"{'a': 0.06, 'e': 0.9340000000000073}",25,0,-77.00921862563777,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
133,False,"{'a': 0.06, 'e': 0.9335000000000073}",25,0,-114.42013794399803,"{0: 14, 1: 1, 2: 7, 3: 3, 4: 0}",0
134,False,"{'a': 0.06, 'e': 0.9330000000000074}",25,0,-123.38427239829558,"{0: 15, 1: 6, 2: 1, 3: 1, 4: 2}",0
135,False,"{'a': 0.06, 'e': 0.9325000000000074}",30,0,-151.67827434773457,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
136,False,"{'a': 0.06, 'e': 0.9320000000000075}",25,14,-5.652316029799376,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
137,False,"{'a': 0.06, 'e': 0.9315000000000075}",30,5,-96.78206700273252,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",1
138,False,"{'a': 0.06, 'e': 0.9310000000000076}",35,0,-109.92671550785731,"{0: 22, 1: 7, 2: 4, 3: 1, 4: 1}",0
139,False,"{'a': 0.06, 'e': 0.9305000000000077}",25,0,-155.65453448045588,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
140,False,"{'a': 0.06, 'e': 0.9300000000000077}",25,0,-74.63850075336293,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
141,False,"{'a': 0.06, 'e': 0.9295000000000078}",20,1,-148.5501721560445,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 2}",1
142,False,"{'a': 0.06, 'e': 0.9290000000000078}",20,0,-76.24793778224542,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
143,False,"{'a': 0.06, 'e': 0.9285000000000079}",20,0,-118.48733230823696,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
144,False,"{'a': 0.06, 'e': 0.9280000000000079}",20,0,-106.31065353256986,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
145,False,"{'a': 0.06, 'e': 0.927500000000008}",25,0,-40.150185785702774,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
146,False,"{'a': 0.06, 'e': 0.927000000000008}",25,0,-51.1549145958951,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
147,False,"{'a': 0.06, 'e': 0.9265000000000081}",20,0,-16.866442904325847,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
148,False,"{'a': 0.06, 'e': 0.9260000000000081}",30,0,-250.31908655591985,"{0: 15, 1: 7, 2: 3, 3: 0, 4: 5}",0
149,False,"{'a': 0.06, 'e': 0.9255000000000082}",20,0,-39.867936924316325,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
150,False,"{'a': 0.06, 'e': 0.9250000000000083}",20,0,-116.30318729579321,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
151,False,"{'a': 0.06, 'e': 0.9245000000000083}",25,0,-124.538273844558,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
152,False,"{'a': 0.06, 'e': 0.9240000000000084}",20,11,-21.202621073955015,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
153,False,"{'a': 0.06, 'e': 0.9235000000000084}",20,0,-158.58209099042318,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
154,False,"{'a': 0.06, 'e': 0.9230000000000085}",25,0,-114.97861211053603,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
155,False,"{'a': 0.06, 'e': 0.9225000000000085}",25,0,-190.45639933412704,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
156,False,"{'a': 0.06, 'e': 0.9220000000000086}",25,0,-202.76795660069962,"{0: 13, 1: 1, 2: 6, 3: 2, 4: 3}",0
157,False,"{'a': 0.06, 'e': 0.9215000000000086}",20,0,-188.1239924293925,"{0: 7, 1: 2, 2: 8, 3: 1, 4: 2}",0
158,False,"{'a': 0.06, 'e': 0.9210000000000087}",25,0,-120.54142475850628,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
159,False,"{'a': 0.06, 'e': 0.9205000000000088}",20,0,-153.24318808411718,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
160,False,"{'a': 0.06, 'e': 0.9200000000000088}",20,0,-137.96221403797668,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
161,False,"{'a': 0.06, 'e': 0.9195000000000089}",25,0,-50.685063787422024,"{0: 15, 1: 7, 2: 3, 3: 0, 4: 0}",0
